id_user,word1,word2,totals
suka_case_suka,12,hari,9
suka_case_suka,hari,kerja,9
suka_case_suka,kerja,wanna,2
suka_case_suka,respon,customcasesurabaya,1
suka_case_suka,customcasesurabaya,customcaseku,3
suka_case_suka,customcaseku,jualcustomcase,4
suka_case_suka,jualcustomcase,caseunikmurah,1
suka_case_suka,respon,casemurah,1
suka_case_suka,casemurah,casesamsungs8,1
suka_case_suka,casesamsungs8,caseiphone6,1
suka_case_suka,caseiphone6,caselucumurah,1
suka_case_suka,caselucumurah,caseunikmurah,1
suka_case_suka,motivasi,lucu,1
suka_case_suka,lucu,islamicquotes,1
suka_case_suka,nama,free,2
suka_case_suka,sendiri,free,1
suka_case_suka,free,katalog,1
suka_case_suka,katalog,pengerjaan,1
suka_case_suka,pengerjaan,12hari,6
suka_case_suka,12hari,dmme,1
suka_case_suka,dmme,wa,1
suka_case_suka,wa,fastrespon,2
suka_case_suka,fastrespon,jualonlinemurah,1
suka_case_suka,jualonlinemurah,onlineshopbandung,1
suka_case_suka,onlineshopbandung,caseoppo,1
suka_case_suka,casesamsungj32016,jualcustomcase,1
suka_case_suka,case,premium,1
suka_case_suka,premium,qualitas,1
suka_case_suka,qualitas,okeee,1
suka_case_suka,okeee,wanna,1
suka_case_suka,fastrespon,casesamsungs8,1
suka_case_suka,casesamsungs8,caseoppo,1
suka_case_suka,caseoppo,caseiphone,1
suka_case_suka,caseiphone,casevivo,2
suka_case_suka,casevivo,casehimax,1
suka_case_suka,caseoppo,casemurahbanget,1
suka_case_suka,casemurahbanget,customcaseku,1
suka_case_suka,customcaseku,casevivo,1
suka_case_suka,casevivo,jualcase,1
suka_case_suka,case,alam,1
suka_case_suka,alam,jualcustomcase,1
suka_case_suka,caseoppo,customcasejakarta,1
suka_case_suka,customcasejakarta,customcasesurakarta,1
suka_case_suka,customcasesurakarta,casevivoy91,1
suka_case_suka,hmmm,adeeeem,1
suka_case_suka,adeeeem,liatnyaaaa,1
